 29|  0  29  15   1  30  16   2  31  17   3  32  18   4  33  19   5  34  20   6  35  21   7  36  22   8  37  23   9  38  24  10  39  25  11  40  26  12  41  27  13  42  28  14 
 30|  0  30  17   4  34  21   8  38  25  12  42  29  16   3  33  20   7  37  24  11  41  28  15   2  32  19   6  36  23  10  40  27  14   1  31  18   5  35  22   9  39  26  13 
 31|  0  31  19   7  38  26  14   2  33  21   9  40  28  16   4  35  23  11  42  30  18   6  37  25  13   1  32  20   8  39  27  15   3  34  22  10  41  29  17   5  36  24  12 
 32|  0  32  21  10  42  31  20   9  41  30  19   8  40  29  18   7  39  28  17   6  38  27  16   5  37  26  15   4  36  25  14   3  35  24  13   2  34  23  12   1  33  22  11 
 33|  0  33  23  13   3  36  26  16   6  39  29  19   9  42  32  22  12   2  35  25  15   5  38  28  18   8  41  31  21  11   1  34  24  14   4  37  27  17   7  40  30  20  10 
 34|  0  34  25  16   7  41  32  23  14   5  39  30  21  12   3  37  28  19  10   1  35  26  17   8  42  33  24  15   6  40  31  22  13   4  38  29  20  11   2  36  27  18   9 
 35|  0  35  27  19  11   3  38  30  22  14   6  41  33  25  17   9   1  36  28  20  12   4  39  31  23  15   7  42  34  26  18  10   2  37  29  21  13   5  40  32  24  16   8 
 36|  0  36  29  22  15   8   1  37  30  23  16   9   2  38  31  24  17  10   3  39  32  25  18  11   4  40  33  26  19  12   5  41  34  27  20  13   6  42  35  28  21  14   7 
 37|  0  37  31  25  19  13   7   1  38  32  26  20  14   8   2  39  33  27  21  15   9   3  40  34  28  22  16  10   4  41  35  29  23  17  11   5  42  36  30  24  18  12   6 
 38|  0  38  33  28  23  18  13   8   3  41  36  31  26  21  16  11   6   1  39  34  29  24  19  14   9   4  42  37  32  27  22  17  12   7   2  40  35  30  25  20  15  10   5 
 39|  0  39  35  31  27  23  19  15  11   7   3  42  38  34  30  26  22  18  14  10   6   2  41  37  33  29  25  21  17  13   9   5   1  40  36  32  28  24  20  16  12   8   4 
